Stego-method;stego_method_4
Attack type;01_insert_attack
Number of documents attacked;18
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;18;0;0;0;0
Number of such states (%);100.0;0.0;0.0;0.0;0.0

Attack type;02_delete_attack
Number of documents attacked;18
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;18;0;0;0;0
Number of such states (%);100.0;0.0;0.0;0.0;0.0

Attack type;03_edit_modify_attack
Number of documents attacked;18
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;18;0;0;0;0
Number of such states (%);100.0;0.0;0.0;0.0;0.0

Attack type;04_format_attack
Number of documents attacked;18
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;0;0;0;0;18
Number of such states (%);0.0;0.0;0.0;0.0;100.0

Attack type;05_impersonation_attack
Number of documents attacked;18
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;0;17;1;0;0
Number of such states (%);0.0;94.44;5.56;0.0;0.0

Attack type;06_save_as_attack
Number of documents attacked;18
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;0;18;0;0;0
Number of such states (%);0.0;100.0;0.0;0.0;0.0

Attack type;07_copy_attack
Number of documents attacked;18
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;18;0;0;0;0
Number of such states (%);100.0;0.0;0.0;0.0;0.0

Attack type;08_retype_attack
Number of documents attacked;18
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;18;0;0;0;0
Number of such states (%);100.0;0.0;0.0;0.0;0.0

Attack type;09_clear_format_attack
Number of documents attacked;18
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;0;0;0;0;18
Number of such states (%);0.0;0.0;0.0;0.0;100.0

Attack type;10_document_inspector_attack
Number of documents attacked;18
Stego-message state;SAFE;ALMOST SAFE (Less than 5% corruption);SIGNIFICANTLY CORRUPTED (Up to 50% corruption);HEAVILY CORRUPTED (Over 50% corruption);MISSING
Number of such states;0;18;0;0;0
Number of such states (%);0.0;100.0;0.0;0.0;0.0

