Stego-method;stego_method_1
Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);
01_insert_attack;16;SAFE;0;0.0;
;;ALMOST SAFE (Less than 5% corruption);0;0.0;
;;SIGNIFICANTLY CORRUPTED (Up to 50% corruption);0;0.0;
;;HEAVILY CORRUPTED (Over 50% corruption);16;100.0;
;;MISSING;0;0.0;

Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);
02_delete_attack;16;SAFE;0;0.0;
;;ALMOST SAFE (Less than 5% corruption);0;0.0;
;;SIGNIFICANTLY CORRUPTED (Up to 50% corruption);0;0.0;
;;HEAVILY CORRUPTED (Over 50% corruption);16;100.0;
;;MISSING;0;0.0;

Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);
03_edit_modify_attack;16;SAFE;0;0.0;
;;ALMOST SAFE (Less than 5% corruption);0;0.0;
;;SIGNIFICANTLY CORRUPTED (Up to 50% corruption);0;0.0;
;;HEAVILY CORRUPTED (Over 50% corruption);16;100.0;
;;MISSING;0;0.0;

Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);
04_format_attack;16;SAFE;0;0.0;
;;ALMOST SAFE (Less than 5% corruption);0;0.0;
;;SIGNIFICANTLY CORRUPTED (Up to 50% corruption);0;0.0;
;;HEAVILY CORRUPTED (Over 50% corruption);0;0.0;
;;MISSING;16;100.0;

Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);
05_impersonation_attack;16;SAFE;0;0.0;
;;ALMOST SAFE (Less than 5% corruption);0;0.0;
;;SIGNIFICANTLY CORRUPTED (Up to 50% corruption);0;0.0;
;;HEAVILY CORRUPTED (Over 50% corruption);0;0.0;
;;MISSING;16;100.0;

Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);
06_save_as_attack;16;SAFE;16;100.0;
;;ALMOST SAFE (Less than 5% corruption);0;0.0;
;;SIGNIFICANTLY CORRUPTED (Up to 50% corruption);0;0.0;
;;HEAVILY CORRUPTED (Over 50% corruption);0;0.0;
;;MISSING;0;0.0;

Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);
07_copy_attack;16;SAFE;16;100.0;
;;ALMOST SAFE (Less than 5% corruption);0;0.0;
;;SIGNIFICANTLY CORRUPTED (Up to 50% corruption);0;0.0;
;;HEAVILY CORRUPTED (Over 50% corruption);0;0.0;
;;MISSING;0;0.0;

Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);
08_retype_attack;16;SAFE;16;100.0;
;;ALMOST SAFE (Less than 5% corruption);0;0.0;
;;SIGNIFICANTLY CORRUPTED (Up to 50% corruption);0;0.0;
;;HEAVILY CORRUPTED (Over 50% corruption);0;0.0;
;;MISSING;0;0.0;

Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);
09_clear_format_attack;16;SAFE;0;0.0;
;;ALMOST SAFE (Less than 5% corruption);0;0.0;
;;SIGNIFICANTLY CORRUPTED (Up to 50% corruption);0;0.0;
;;HEAVILY CORRUPTED (Over 50% corruption);0;0.0;
;;MISSING;16;100.0;

Attack type;Number of documents attacked;Stego-message state;Number of such states;Number of such states (%);
10_document_inspector_attack;16;SAFE;0;0.0;
;;ALMOST SAFE (Less than 5% corruption);0;0.0;
;;SIGNIFICANTLY CORRUPTED (Up to 50% corruption);0;0.0;
;;HEAVILY CORRUPTED (Over 50% corruption);0;0.0;
;;MISSING;16;100.0;

